Example 1) New Weights: {'SAT': 0.0115184411015625, 'ACT': 1.0, 'LOCALE': 63.49540657236331, 'CTH': 243.10125000000002, 'CCSIZSET': 100, 'MAJOR': 200, 'INCOME': 1}
Example 2) New Weights: {'SAT': 0.015358730117294151, 'ACT': 1.0, 'LOCALE': 84.66499977158405, 'CTH': 243.10125000000002, 'CCSIZSET': 100, 'MAJOR': 200, 'INCOME': 1}
Example 3) New Weights: {'SAT': 0.016848440785794932, 'ACT': 1.047375, 'LOCALE': 88.45431412542345, 'CTH': 281.4200845312501, 'CCSIZSET': 100, 'MAJOR': 209.47500000000002, 'INCOME': 1}
Example 4) New Weights: {'SAT': 0.016722393124909318, 'ACT': 1.0421446710937499, 'LOCALE': 92.4132251639726, 'CTH': 324.96447804209964, 'CCSIZSET': 100, 'MAJOR': 209.47500000000002, 'INCOME': 1}
Example 6) New Weights: {'SAT': 0.019213436053572557, 'ACT': 1.0942519046484374, 'LOCALE': 101.12334765038194, 'CTH': 324.96447804209964, 'CCSIZSET': 100, 'MAJOR': 209.47500000000002, 'INCOME': 1}
Example 7) New Weights: {'SAT': 0.02838699569124382, 'ACT': 1.0942519046484374, 'LOCALE': 164.7192776294544, 'CTH': 358.2733370414149, 'CCSIZSET': 100, 'MAJOR': 209.47500000000002, 'INCOME': 1}
Example 8) New Weights: {'SAT': 0.03424643282288558, 'ACT': 1.0395393094160155, 'LOCALE': 209.17835006776386, 'CTH': 358.2733370414149, 'CCSIZSET': 100, 'MAJOR': 209.47500000000002, 'INCOME': 1}
Example 10) New Weights: {'SAT': 0.05047108465801741, 'ACT': 1.0395393094160155, 'LOCALE': 308.279062800356, 'CTH': 358.2733370414149, 'CCSIZSET': 100, 'MAJOR': 209.47500000000002, 'INCOME': 1}
Example 11) New Weights: {'SAT': 0.04520938110324631, 'ACT': 1.0395393094160155, 'LOCALE': 304.4447938483536, 'CTH': 358.2733370414149, 'CCSIZSET': 100, 'MAJOR': 230.94618750000006, 'INCOME': 1}
Example 12) New Weights: {'SAT': 0.04934677525175384, 'ACT': 1.0395393094160155, 'LOCALE': 332.30644729003956, 'CTH': 358.2733370414149, 'CCSIZSET': 100, 'MAJOR': 230.94618750000006, 'INCOME': 1}
Example 13) New Weights: {'SAT': 0.05386280830047129, 'ACT': 1.1346740746121828, 'LOCALE': 332.30644729003956, 'CTH': 358.2733370414149, 'CCSIZSET': 100, 'MAJOR': 230.94618750000006, 'INCOME': 1}
Example 15) New Weights: {'SAT': 0.05879213187107312, 'ACT': 1.1346740746121828, 'LOCALE': 362.7178954668962, 'CTH': 358.2733370414149, 'CCSIZSET': 100, 'MAJOR': 230.94618750000006, 'INCOME': 1}
